SubCta; SALDO_INICIAL ; DEBE ; HABER ; SALDO_FINAL 
102-0000;123,690.44;19,950.00;14,428.40;129,212.04
102-0001;123,690.44;19,950.00;14,428.40;129,212.04
104-0000;239,309.96;168.93;0.00;239,478.89
104-0001;239,309.96;168.93;0.00;239,478.89
106-0000;0.00;19,950.00;19,950.00;0.00
106-0001;0.00;19,950.00;19,950.00;0.00
106-0002;0.00;0.00;0.00;0.00
108-0000;44,914.00;0.00;0.00;44,914.00
108-0001;44,914.00;0.00;0.00;44,914.00
108-0002;0.00;0.00;0.00;0.00
108-0003;0.00;0.00;0.00;0.00
112-0000;2,270.78;118.07;0.00;2,388.85
112-0001;0.00;0.00;0.00;0.00
112-0002;2,270.78;118.07;0.00;2,388.85
118-0000;0.00;62.40;62.40;0.00
118-0001;0.00;62.40;62.40;0.00
118-0002;0.00;0.00;0.00;0.00
118-0003;0.00;0.00;0.00;0.00
119-0000;0.00;0.00;0.00;0.00
119-0001;0.00;0.00;0.00;0.00
119-0002;0.00;0.00;0.00;0.00
119-0003;0.00;0.00;0.00;0.00
120-0000;3,492,368.00;0.00;0.00;3,492,368.00
120-0001;3,492,368.00;0.00;0.00;3,492,368.00
134-0000;2,222,729.00;0.00;0.00;2,222,729.00
134-0001;2,222,729.00;0.00;0.00;2,222,729.00
161-0000;258,978.28;0.00;9,261.37;268,239.65
161-0001;258,978.28;0.00;9,261.37;268,239.65
202-0000;0.00;0.00;0.00;0.00
202-0001;0.00;0.00;0.00;0.00
204-0000;0.00;0.00;0.00;0.00
204-0001;0.00;0.00;0.00;0.00
204-0002;0.00;0.00;0.00;0.00
208-0000;0.00;2,751.73;2,751.73;0.00
208-0001;0.00;2,751.73;2,751.73;0.00
209-0000;0.00;2,751.73;2,751.73;0.00
209-0001;0.00;2,751.73;2,751.73;0.00
211-0000;2,690.00;2,690.00;2,690.00;2,690.00
211-0001;2,690.00;2,690.00;2,690.00;2,690.00
211-0002;0.00;0.00;0.00;0.00
216-0000;0.00;0.00;0.00;0.00
216-0001;0.00;0.00;0.00;0.00
216-0002;0.00;0.00;0.00;0.00
218-0000;0.00;0.00;0.00;0.00
218-0001;0.00;0.00;0.00;0.00
310-0000;2,281,000.00;0.00;0.00;2,281,000.00
310-0001;516,000.00;0.00;0.00;516,000.00
310-0002;0.00;0.00;0.00;0.00
310-0003;1,765,000.00;0.00;0.00;1,765,000.00
315-0000;275,556.90;0.00;0.00;275,556.90
315-0001;-20,974.45;0.00;0.00;-20,974.45
315-0002;296,531.35;0.00;0.00;296,531.35
320-0000;3,846,833.00;0.00;0.00;3,846,833.00
320-0001;192,575.00;0.00;0.00;192,575.00
320-0002;3,654,258.00;0.00;0.00;3,654,258.00
410-0000;50,775.85;0.00;17,198.27;67,974.12
410-0001;50,775.85;0.00;17,198.27;67,974.12
410-0002;0.00;0.00;0.00;0.00
600-0000;12,456.00;11,676.00;0.00;24,132.00
600-0020;0.00;0.00;0.00;0.00
600-0022;0.00;0.00;0.00;0.00
600-0024;0.00;0.00;0.00;0.00
600-0026;0.00;0.00;0.00;0.00
600-0028;11,286.00;11,286.00;0.00;22,572.00
600-0030;0.00;0.00;0.00;0.00
600-0032;1,170.00;390.00;0.00;1,560.00
605-0000;27,784.11;9,261.37;0.00;37,045.48
605-0001;27,784.11;9,261.37;0.00;37,045.48
702-0000;812.14;0.00;287.00;1,099.14
702-0001;812.14;0.00;287.00;1,099.14
703-0000;10.08;0.67;0.00;10.75
703-0001;10.08;0.67;0.00;10.75
704-0000;0.00;0.00;0.00;0.00
704-0001;0.00;0.00;0.00;0.00
