SubCta; SALDO_INICIAL ; DEBE ; HABER ; SALDO_FINAL 
102-0000;98,748.24;19,950.00;11,815.40;106,882.84
102-0001;98,748.24;19,950.00;11,815.40;106,882.84
104-0000;238,989.35;138.53;0.00;239,127.88
104-0001;238,989.35;138.53;0.00;239,127.88
106-0000;0.00;0.00;0.00;0.00
106-0001;0.00;0.00;0.00;0.00
106-0002;0.00;0.00;0.00;0.00
108-0000;44,914.00;19,950.00;19,950.00;44,914.00
108-0001;44,914.00;0.00;0.00;44,914.00
108-0002;0.00;0.00;0.00;0.00
108-0003;0.00;19,950.00;19,950.00;0.00
112-0000;2,034.98;110.04;0.00;2,145.02
112-0001;0.00;0.00;0.00;0.00
112-0002;2,034.98;110.04;0.00;2,145.02
118-0000;0.00;62.40;62.40;0.00
118-0001;0.00;62.40;62.40;0.00
118-0002;0.00;0.00;0.00;0.00
118-0003;0.00;0.00;0.00;0.00
119-0000;0.00;0.00;0.00;0.00
119-0001;0.00;0.00;0.00;0.00
119-0002;0.00;0.00;0.00;0.00
119-0003;0.00;0.00;0.00;0.00
120-0000;3,492,368.00;0.00;0.00;3,492,368.00
120-0001;3,492,368.00;0.00;0.00;3,492,368.00
134-0000;2,222,729.00;0.00;0.00;2,222,729.00
134-0001;2,222,729.00;0.00;0.00;2,222,729.00
161-0000;240,455.54;0.00;9,261.37;249,716.91
161-0001;240,455.54;0.00;9,261.37;249,716.91
202-0000;0.00;0.00;0.00;0.00
202-0001;0.00;0.00;0.00;0.00
204-0000;0.00;0.00;0.00;0.00
204-0001;0.00;0.00;0.00;0.00
204-0002;0.00;0.00;0.00;0.00
208-0000;0.00;2,751.73;2,751.73;0.00
208-0001;0.00;2,751.73;2,751.73;0.00
209-0000;0.00;2,751.73;2,751.73;0.00
209-0001;0.00;2,751.73;2,751.73;0.00
211-0000;77.00;77.00;2,690.00;2,690.00
211-0001;77.00;77.00;2,690.00;2,690.00
211-0002;0.00;0.00;0.00;0.00
216-0000;0.00;0.00;0.00;0.00
216-0001;0.00;0.00;0.00;0.00
216-0002;0.00;0.00;0.00;0.00
218-0000;0.00;0.00;0.00;0.00
218-0001;0.00;0.00;0.00;0.00
310-0000;2,281,000.00;0.00;0.00;2,281,000.00
310-0001;516,000.00;0.00;0.00;516,000.00
310-0002;0.00;0.00;0.00;0.00
310-0003;1,765,000.00;0.00;0.00;1,765,000.00
315-0000;275,556.90;0.00;0.00;275,556.90
315-0001;-20,974.45;0.00;0.00;-20,974.45
315-0002;296,531.35;0.00;0.00;296,531.35
320-0000;3,846,833.00;0.00;0.00;3,846,833.00
320-0001;192,575.00;0.00;0.00;192,575.00
320-0002;3,654,258.00;0.00;0.00;3,654,258.00
410-0000;16,379.31;0.00;17,198.27;33,577.58
410-0001;16,379.31;0.00;17,198.27;33,577.58
410-0002;0.00;0.00;0.00;0.00
600-0000;390.00;11,676.00;0.00;12,066.00
600-0020;0.00;0.00;0.00;0.00
600-0022;0.00;0.00;0.00;0.00
600-0024;0.00;0.00;0.00;0.00
600-0026;0.00;0.00;0.00;0.00
600-0028;0.00;11,286.00;0.00;11,286.00
600-0030;0.00;0.00;0.00;0.00
600-0032;390.00;390.00;0.00;780.00
605-0000;9,261.37;9,261.37;0.00;18,522.74
605-0001;9,261.37;9,261.37;0.00;18,522.74
702-0000;255.73;0.00;248.57;504.30
702-0001;255.73;0.00;248.57;504.30
703-0000;8.74;0.67;0.00;9.41
703-0001;8.74;0.67;0.00;9.41
704-0000;0.00;0.00;0.00;0.00
704-0001;0.00;0.00;0.00;0.00
