SubCta; SALDO_INICIAL ; DEBE ; HABER ; SALDO_FINAL 
102-0000;125,719.64;19,500.00;11,738.40;133,481.24
102-0001;125,719.64;19,500.00;11,738.40;133,481.24
104-0000;239,638.40;177.30;0.00;239,815.70
104-0001;239,638.40;177.30;0.00;239,815.70
106-0000;0.00;19,950.00;19,500.00;450.00
106-0001;0.00;19,950.00;19,500.00;450.00
106-0002;0.00;0.00;0.00;0.00
108-0000;44,914.00;0.00;0.00;44,914.00
108-0001;44,914.00;0.00;0.00;44,914.00
108-0002;0.00;0.00;0.00;0.00
108-0003;0.00;0.00;0.00;0.00
112-0000;2,613.11;126.08;110.00;2,629.19
112-0001;110.00;0.00;110.00;0.00
112-0002;2,503.11;126.08;0.00;2,629.19
118-0000;0.00;62.40;62.40;0.00
118-0001;0.00;62.40;62.40;0.00
118-0002;0.00;0.00;0.00;0.00
118-0003;0.00;0.00;0.00;0.00
119-0000;0.00;0.00;0.00;0.00
119-0001;0.00;0.00;0.00;0.00
119-0002;0.00;0.00;0.00;0.00
119-0003;0.00;0.00;0.00;0.00
120-0000;3,492,368.00;0.00;0.00;3,492,368.00
120-0001;3,492,368.00;0.00;0.00;3,492,368.00
134-0000;2,222,729.00;0.00;0.00;2,222,729.00
134-0001;2,222,729.00;0.00;0.00;2,222,729.00
161-0000;277,501.02;0.00;9,261.37;286,762.39
161-0001;277,501.02;0.00;9,261.37;286,762.39
202-0000;0.00;0.00;0.00;0.00
202-0001;0.00;0.00;0.00;0.00
204-0000;0.00;0.00;0.00;0.00
204-0001;0.00;0.00;0.00;0.00
204-0002;0.00;0.00;0.00;0.00
208-0000;0.00;2,689.66;2,689.66;0.00
208-0001;0.00;2,689.66;2,689.66;0.00
209-0000;0.00;2,689.66;2,751.73;62.07
209-0001;0.00;2,689.66;2,751.73;62.07
211-0000;0.00;110.00;2,628.00;2,518.00
211-0001;0.00;110.00;2,628.00;2,518.00
211-0002;0.00;0.00;0.00;0.00
216-0000;0.00;0.00;0.00;0.00
216-0001;0.00;0.00;0.00;0.00
216-0002;0.00;0.00;0.00;0.00
218-0000;0.00;0.00;0.00;0.00
218-0001;0.00;0.00;0.00;0.00
310-0000;2,281,000.00;0.00;0.00;2,281,000.00
310-0001;516,000.00;0.00;0.00;516,000.00
310-0002;0.00;0.00;0.00;0.00
310-0003;1,765,000.00;0.00;0.00;1,765,000.00
315-0000;275,556.90;0.00;0.00;275,556.90
315-0001;-20,974.45;0.00;0.00;-20,974.45
315-0002;296,531.35;0.00;0.00;296,531.35
320-0000;3,846,833.00;0.00;0.00;3,846,833.00
320-0001;192,575.00;0.00;0.00;192,575.00
320-0002;3,654,258.00;0.00;0.00;3,654,258.00
410-0000;85,172.39;0.00;17,198.27;102,370.66
410-0001;85,172.39;0.00;17,198.27;102,370.66
410-0002;0.00;0.00;0.00;0.00
600-0000;42,022.00;11,676.00;0.00;53,698.00
600-0020;17,500.00;0.00;0.00;17,500.00
600-0022;0.00;0.00;0.00;0.00
600-0024;0.00;0.00;0.00;0.00
600-0026;0.00;0.00;0.00;0.00
600-0028;22,572.00;11,286.00;0.00;33,858.00
600-0030;0.00;0.00;0.00;0.00
600-0032;1,950.00;390.00;0.00;2,340.00
605-0000;46,306.85;9,261.37;0.00;55,568.22
605-0001;46,306.85;9,261.37;0.00;55,568.22
702-0000;1,372.91;0.00;303.38;1,676.29
702-0001;1,372.91;0.00;303.38;1,676.29
703-0000;11.42;0.74;0.00;12.16
703-0001;11.42;0.74;0.00;12.16
704-0000;0.00;0.00;0.00;0.00
704-0001;0.00;0.00;0.00;0.00
