SubCta;saldo_inicial;debe;haber;saldo_final
110-0000;30141.7;243811873.5;243817294.2;24720.93
110-0001;30141.7;243811873.5;243817294.2;24720.93
113-0000;11175000;243525421.6;243210421.6;11490000
113-0001;11175000;243525421.6;243210421.6;11490000
122-0000;0.01;601451.88;601451.89;0
122-0001;0.01;572460;572460.01;0
122-0002;0;28991.88;28991.88;0
131-0000;0;1753.24;1753.24;0
131-0001;0;1753.24;1753.24;0
137-0000;9514.74;0;911;8603.74
137-0001;9514.74;0;911;8603.74
146-0000;3258311.44;0;0;3258311.44
146-0001;3000000;0;0;3000000
146-0002;258311.44;0;0;258311.44
149-0000;9231882.43;0;0;9231882.43
149-0001;8500000;0;0;8500000
149-0002;731882.43;0;0;731882.43
164-0000;-4263646.99;0;35416.67;-4299063.66
164-0001;-3931249.67;0;35416.67;-3966666.34
164-0002;-332397.32;0;0;-332397.32
182-0000;71697.76;0;8962.23;62735.53
182-0001;66386.77;0;8298.35;58088.42
182-0002;5310.99;0;663.88;4647.11
210-0000;-294582.36;294582.36;212575.32;-212575.32
210-0001;-98490.95;98490.95;0;0
210-0002;-113969.96;113969.96;131369.68;-131369.68
210-0003;-82121.45;82121.45;81205.64;-81205.64
216-0000;0;82958.88;82958.88;0
216-0001;0;82958.88;82958.88;0
217-0000;0;0;0;0
217-0001;0;0;0;0
222-0000;-68982.49;6605.32;0;-62377.17
222-0001;-6605.32;6605.32;0;0
222-0002;-62377.17;0;0;-62377.17
300-0000;-10057788.76;0;0;-10057788.76
300-0001;-9260001;0;0;-9260001
300-0002;-56918.01;0;0;-56918.01
300-0003;-740869.75;0;0;-740869.75
318-0000;-8395739.92;0;0;-8395739.92
318-0001;579947.21;0;0;579947.21
318-0002;-8912.33;0;0;-8912.33
318-0003;-1077803.33;0;0;-1077803.33
318-0004;-4073438.31;0;0;-4073438.31
318-0005;-3815533.16;0;0;-3815533.16
400-0000;-1036986;0;518493;-1555479
400-0001;-987000;0;493500;-1480500
400-0002;-49986;0;24993;-74979
600-0000;112025.34;13503;0;125528.34
600-0001;300;0;0;300
600-0002;47362;0;0;47362
600-0003;16596.7;8298.35;0;24895.05
600-0004;5694;0;0;5694
600-0005;0.72;0.65;0;1.37
600-0006;36867.92;0;0;36867.92
600-0050;5204;5204;0;10408
603-0000;70833.34;35416.67;0;106250.01
603-0001;70833.34;35416.67;0;106250.01
700-0000;-36972.65;0;21513.02;-58485.67
700-0001;-36972.65;0;21513.02;-58485.67
703-0000;1452.76;723.88;0;2176.64
703-0001;1327.76;663.88;0;1991.64
703-0002;125;60;0;185
706-0000;-36867.92;0;0.32;-36868.24
706-0001;-36867.92;0;0;-36867.92
706-0002;0;0;0.32;-0.32
750-0000;230707.57;137461.11;0;368168.68
750-0001;220238.77;131369.68;0;351608.45
750-0002;10468.8;6091.43;0;16560.23
802-0000;0;0;0;0
802-0001;3339435.6;0;0;3339435.6
802-0002;-3339435.6;0;0;-3339435.6
803-0000;0;0;0;0
803-0001;3623053.77;0;0;3623053.77
803-0002;-3623053.77;0;0;-3623053.77
806-0000;0;0;0;0
806-0001;528306.53;0;0;528306.53
806-0002;-528306.53;0;0;-528306.53
807-0000;0;0;0;0
807-0001;12948689.41;0;0;12948689.41
807-0002;-12948689.41;0;0;-12948689.41
