SubCta; SALDO_INICIAL ; DEBE ; HABER ; SALDO_FINAL 
101-0000;14,233;138246;116260;36,219
101-0001;4,874;2,494;2,494;4,874
101-0002;9,359;135,752;113,766;31,345
104-0000;68,071.53;1,085,003.51;1,058,610.94;94,464.10
104-0001;35,597.67;705,650.00;673,591.51;67,656.16
104-0002;32,473.86;379,353.51;385,019.43;26,807.94
106-0000;658,507.72;482.21;25,000.00;633,989.93
106-0001;658,507.72;482.21;25,000.00;633,989.93
108-0000;0;24814;22599;2215
108-0001;0;24814;22599;2215
109-0000;15801.25;11999;8574;19226.25
109-0001;15076.25;8000;3850;19226.25
109-0002;0;0;0;0
109-0003;725;3999;4724;0
110-0000;316042.71;0;19246.74;296795.97
110-0001;38759.82;0;3229.98;35529.84
110-0002;21879.09;0;12469.49;9409.6
110-0003;255403.8;0;3547.27;251856.53
114-0000;677052.28;4941.28;85620.8;596372.76
114-0001;655610.68;0;81004;574606.68
114-0002;19767.6;324.48;0;20092.08
114-0003;1674;0;0;1674
114-0004;0;4616.8;4616.8;0
115-0000;15365;711223;705393;21195
115-0000;95212.59;0;786.32;94426.27
115-0001;15365;711223;705393;21195
115-0001;95212.59;0;786.32;94426.27
115-0002;0;0;0;0
118-0000;0;53314.92;53314.92;0
118-0001;0;37119.85;37119.85;0
118-0002;0;9609.28;9609.28;0
118-0003;0;6585.79;6585.79;0
118-0004;0;0;0;0
119-0000;14763.99;22883.48;17025.94;20621.53
119-0001;10191.59;13259.25;8701.48;14749.36
119-0002;761.32;0;0;761.32
119-0003;3811.08;9624.23;8324.46;5110.85
119-0004;0;0;0;0
120-0000;0;0;0;0
120-0001;0;0;0;0
130-0000;451672.59;0;0;451672.59
130-0001;451672.59;0;0;451672.59
131-0000;84105.1;48458;0;132563.1
131-0001;84105.1;48458;0;132563.1
132-0000;251054.87;0;0;251054.87
132-0001;251054.87;0;0;251054.87
133-0000;5355367.57;0;0;5355367.57
133-0001;4919140.23;0;0;4919140.23
133-0002;326364.9;0;0;326364.9
133-0003;109862.44;0;0;109862.44
134-0000;10097046.5;11600;0;10108646.5
134-0001;10097046.5;11600;0;10108646.5
161-0000;4386669.62;0;95045.4;4481715.02
161-0001;159743.05;0;3763.94;163506.99
161-0002;28380.1;0;700.88;29080.98
161-0003;214831.64;0;1161.79;215993.43
161-0004;1808903.86;0;40992.84;1849896.7
161-0005;251825.36;0;5439.42;257264.78
161-0006;42113.92;0;915.52;43029.44
161-0007;1880871.69;0;42071.01;1922942.7
166-0000;2161969.24;0;0;2161969.24
166-0001;2161969.24;0;0;2161969.24
171-0000;864787.68;0;18016.41;882804.09
171-0001;864787.68;0;18016.41;882804.09
202-0000;54443.84;58742.84;93749.6;89450.6
202-0001;54443.84;58742.84;93749.6;89450.6
202-0002;0;0;0;0
204-0000;0;30027.53;32487.53;2460
204-0001;0;0;0;0
204-0002;0;30027.53;32487.53;2460
206-0000;340732.9;93122.68;220172.43;467782.65
206-0001;340732.9;74261.33;0;266471.57
206-0002;0;18861.35;220172.43;201311.08
208-0000;0;97295.29;97295.29;0
208-0001;0;97295.29;97295.29;0
209-0000;2119.59;97295.29;98099.41;2923.71
209-0001;2119.59;97295.29;98099.41;2923.71
210-0000;0;0;7662.48;7662.48
210-0001;0;0;7662.48;7662.48
212-0000;77971.77;77971.77;32445.9;32445.9
212-0001;27769.87;27769.87;27570.85;27570.85
212-0002;27937.43;27937.43;0;0
212-0003;22264.47;22264.47;4875.05;4875.05
214-0000;11248.82;53846;51776;9178.82
214-0001;0;43981;43981;0
214-0002;0;0;0;0
214-0003;11248.82;9865;7795;9178.82
214-0004;0;0;0;0
216-0000;6585.79;48225.78;46112.76;4472.77
216-0001;0;37571.99;37571.99;0
216-0001;0;0;0;0
216-0002;0;4068;4068;0
216-0003;6585.79;6585.79;4472.77;4472.77
218-0000;24516.03;40117.87;83695.46;68093.62
218-0001;-5373.21;4728.54;35154.05;25052.3
218-0002;1100;19850;22350;3600
218-0003;28789.24;15539.33;26191.41;39441.32
310-0000;27320000;0;0;27320000
310-0001;50000;0;0;50000
310-0002;24270000;0;0;24270000
310-0003;3000000;0;0;3000000
315-0000;12812810.13;0;0;12812810.13
315-0001;12812810.13;0;0;12812810.13
410-0000;0;0;486073.84;486073.84
410-0001;0;0;462133.47;462133.47
410-0002;0;0;23940.37;23940.37
411-0000;0;0;0;0
411-0001;0;0;0;0
601-0000;0;417404.18;0;417404.18
601-0001;0;27143.97;0;27143.97
601-0002;0;4900;0;4900
601-0003;0;2549.96;0;2549.96
601-0004;0;637.49;0;637.49
601-0005;0;0;0;0
601-0006;0;347.8;0;347.8
601-0007;0;2.2;0;2.2
601-0008;0;0;0;0
601-0009;0;0;0;0
601-0010;0;0;0;0
601-0011;0;0;0;0
601-0012;0;0;0;0
601-0016;0;3672.87;0;3672.87
601-0017;0;1067.44;0;1067.44
601-0018;0;1664.56;0;1664.56
601-0019;0;2089;0;2089
601-0021;0;39951.75;0;39951.75
601-0022;0;0;0;0
601-0023;0;3250.02;0;3250.02
601-0024;0;712.52;0;712.52
601-0025;0;0;0;0
601-0026;0;754.18;0;754.18
601-0027;0;0;0;0
601-0028;0;0;0;0
601-0029;0;0;0;0
601-0030;0;0;0;0
601-0031;0;0;0;0
601-0032;0;0;0;0
601-0036;0;5913.89;0;5913.89
601-0037;0;1340.05;0;1340.05
601-0038;0;2390.5;0;2390.5
601-0039;0;2997.86;0;2997.86
601-0042;0;74275;0;74275
601-0043;0;0;0;0
601-0044;0;16852.5;0;16852.5
601-0045;0;575.88;0;575.88
601-0046;0;0;0;0
601-0047;0;17546.69;0;17546.69
601-0048;0;19166.87;0;19166.87
601-0049;0;8119.2;0;8119.2
