SubCta; SALDO_INICIAL ; DEBE ; HABER ; SALDO_FINAL 
101-0000;36,219.00;73,754.00;79,154.00;30,819.00
101-0001;4,874.00;4,653.00;4,653.00;4,874.00
101-0002;31,345.00;69,101.00;74,501.00;25,945.00
104-0000;94,464.10;887,902.10;926,436.03;55,930.17
104-0001;67,656.16;621,299.50;660,560.38;28,395.28
104-0002;26,807.94;266,602.60;265,875.65;27,534.89
106-0000;633,989.93;404.78;185,000.00;449,394.71
106-0001;633,989.93;404.78;185,000.00;449,394.71
108-0000;2,215.00;12,999.00;14,114.00;1,100.00
108-0001;2,215.00;12,999.00;14,114.00;1,100.00
109-0000;19,226.25;192.00;5,575.00;13,843.25
109-0001;19,226.25;0.00;5,575.00;13,651.25
109-0002;0.00;0.00;0.00;0.00
109-0003;0.00;192.00;0.00;192.00
110-0000;296,795.97;12,000.00;19,246.74;289,549.23
110-0001;35,529.84;0.00;3,229.98;32,299.86
110-0002;9,409.60;12,000.00;12,469.49;8,940.11
110-0003;251,856.53;0.00;3,547.27;248,309.26
114-0000;596,372.76;5,535.17;38,739.81;563,168.12
114-0001;574,606.68;0.00;33,461.00;541,145.68
114-0002;20,092.08;256.36;0.00;20,348.44
114-0003;1,674.00;0.00;0.00;1,674.00
114-0004;0.00;5,278.81;5,278.81;0.00
115-0000;21,195.00;439,469.50;441,359.50;19,305.00
115-0000;94,426.27;0.00;548.08;93,878.19
115-0001;21,195.00;439,469.50;441,359.50;19,305.00
115-0001;94,426.27;0.00;548.08;93,878.19
115-0002;0.00;0.00;0.00;0.00
118-0000;0.00;57,855.51;57,855.51;0.00
118-0001;0.00;53,382.74;53,382.74;0.00
118-0002;0.00;0.00;0.00;0.00
118-0003;0.00;4,472.77;4,472.77;0.00
118-0004;0.00;0.00;0.00;0.00
119-0000;20,621.53;15,594.50;20,422.63;15,793.40
119-0001;14,749.36;6,295.18;14,381.86;6,662.68
119-0002;761.32;0.00;0.00;761.32
119-0003;5,110.85;9,299.32;6,040.77;8,369.40
119-0004;0.00;0.00;0.00;0.00
120-0000;0.00;0.00;0.00;0.00
120-0001;0.00;0.00;0.00;0.00
130-0000;451,672.59;0.00;0.00;451,672.59
130-0001;451,672.59;0.00;0.00;451,672.59
131-0000;84,105.10;48,458.00;0.00;132,563.10
131-0001;84,105.10;48,458.00;0.00;132,563.10
132-0000;251,054.87;0.00;0.00;251,054.87
132-0001;251,054.87;0.00;0.00;251,054.87
133-0000;5,355,367.57;0.00;0.00;5,355,367.57
133-0001;4,919,140.23;0.00;0.00;4,919,140.23
133-0002;326,364.90;0.00;0.00;326,364.90
133-0003;109,862.44;0.00;0.00;109,862.44
134-0000;10,097,046.50;11,600.00;0.00;10,108,646.50
134-0001;10,097,046.50;11,600.00;0.00;10,108,646.50
161-0000;4,481,715.02;0.00;95,497.56;4,577,212.58
161-0001;163,506.99;0.00;3,763.94;167,270.93
161-0002;29,080.98;0.00;1,104.69;30,185.67
161-0003;215,993.43;0.00;1,161.79;217,155.22
161-0004;1,849,896.70;0.00;40,992.84;1,890,889.54
161-0005;257,264.78;0.00;5,439.42;262,704.20
161-0006;43,029.44;0.00;915.52;43,944.96
161-0007;1,922,942.70;0.00;42,119.36;1,965,062.06
166-0000;2,161,969.24;0.00;0.00;2,161,969.24
166-0001;2,161,969.24;0.00;0.00;2,161,969.24
171-0000;882,804.09;0.00;18,016.41;900,820.50
171-0001;882,804.09;0.00;18,016.41;900,820.50
202-0000;89,450.60;89,450.60;32,271.97;32,271.97
202-0001;89,450.60;89,450.60;32,271.97;32,271.97
202-0002;0.00;0.00;0.00;0.00
204-0000;2,460.00;6,577.65;6,577.65;2,460.00
