SubCta; SALDO_INICIAL ; DEBE ; HABER ; SALDO_FINAL 
101-0000;41,930.50;157,898.00;139,034.50;60,794.00
101-0001;4,874.00;5,935.00;5,935.00;4,874.00
101-0002;37,056.50;151,963.00;133,099.50;55,920.00
104-0000;37,353.46;1,007,322.60;945,143.89;99,532.17
104-0001;13,371.48;603,835.53;601,408.51;15,798.50
104-0002;23,981.98;403,487.07;343,735.38;83,733.67
106-0000;185,168.03;136.93;0.00;185,304.96
106-0001;185,168.03;136.93;0.00;185,304.96
107-0000;22,408.01;683,427.05;697,440.06;8,395.00
107-0001;22,408.01;683,427.05;697,440.06;8,395.00
107-0002;0.00;0.00;0.00;0.00
108-0000;0.00;20,946.00;19,346.00;1,600.00
108-0001;0.00;20,946.00;19,346.00;1,600.00
109-0000;9,625.18;10,064.44;4,838.37;14,851.25
109-0001;9,371.90;10,064.44;4,585.09;14,851.25
109-0002;0.00;0.00;0.00;0.00
109-0003;253.28;0.00;253.28;0.00
110-0000;266,810.69;0.00;8,410.59;258,400.10
110-0001;22,609.90;0.00;3,229.99;19,379.91
110-0002;6,533.34;0.00;1,633.33;4,900.01
110-0003;237,667.45;0.00;3,547.27;234,120.18
114-0000;412,671.42;5,578.86;76,235.43;342,014.85
114-0001;390,127.68;0.00;70,754.00;319,373.68
114-0002;20,869.74;97.43;0.00;20,967.17
114-0003;1,674.00;0.00;0.00;1,674.00
114-0004;0.00;5,481.43;5,481.43;0.00
115-0000;93,636.19;31,000.00;958.48;123,677.71
115-0001;93,636.19;31,000.00;958.48;123,677.71
118-0000;0.00;52,954.81;52,954.81;0.00
118-0001;0.00;45,973.24;45,973.24;0.00
118-0002;0.00;0.00;0.00;0.00
118-0003;0.00;6,981.57;6,981.57;0.00
118-0004;0.00;0.00;0.00;0.00
119-0000;23,212.60;25,647.29;22,392.03;26,467.86
119-0001;16,722.83;16,183.10;14,557.13;18,348.80
119-0002;761.32;0.00;0.00;761.32
119-0003;5,728.45;9,464.19;7,834.90;7,357.74
119-0004;0.00;0.00;0.00;0.00
120-0000;0.00;0.00;0.00;0.00
120-0001;0.00;0.00;0.00;0.00
130-0000;451,672.59;0.00;0.00;451,672.59
130-0001;451,672.59;0.00;0.00;451,672.59
131-0000;132,563.10;0.00;0.00;132,563.10
131-0001;132,563.10;0.00;0.00;132,563.10
132-0000;251,054.87;0.00;0.00;251,054.87
132-0001;251,054.87;0.00;0.00;251,054.87
133-0000;5,465,867.94;0.00;0.00;5,465,867.94
133-0001;5,029,640.60;0.00;0.00;5,029,640.60
133-0002;326,364.90;0.00;0.00;326,364.90
133-0003;109,862.44;0.00;0.00;109,862.44
134-0000;10,108,646.50;0.00;0.00;10,108,646.50
134-0001;10,108,646.50;0.00;0.00;10,108,646.50
161-0000;4,865,092.33;0.00;96,418.38;4,961,510.71
161-0001;178,562.75;0.00;3,763.94;182,326.69
161-0002;33,499.74;0.00;1,104.69;34,604.43
161-0003;220,640.59;0.00;1,161.79;221,802.38
161-0004;2,015,255.14;0.00;41,913.67;2,057,168.81
161-0005;279,022.46;0.00;5,439.42;284,461.88
161-0006;46,691.52;0.00;915.52;47,607.04
161-0007;2,091,420.13;0.00;42,119.35;2,133,539.48
166-0000;2,161,969.24;0.00;0.00;2,161,969.24
166-0001;2,161,969.24;0.00;0.00;2,161,969.24
171-0000;954,869.73;0.00;18,016.41;972,886.14
171-0001;954,869.73;0.00;18,016.41;972,886.14
202-0000;116,792.33;116,792.33;112,283.43;112,283.43
202-0001;116,792.33;116,792.33;112,283.43;112,283.43
202-0002;0.00;0.00;0.00;0.00
