SubCta; SALDO_INICIAL ; DEBE ; HABER ; SALDO_FINAL 
101-0000;24,905.50;90,163.00;73,138.00;41,930.50
101-0001;4,874.00;1,000.00;1,000.00;4,874.00
101-0002;20,031.50;89,163.00;72,138.00;37,056.50
104-0000;19,810.80;928,813.14;911,270.48;37,353.46
104-0001;4,608.77;630,282.62;621,519.91;13,371.48
104-0002;15,202.03;298,530.52;289,750.57;23,981.98
106-0000;290,963.20;204.83;106,000.00;185,168.03
106-0001;290,963.20;204.83;106,000.00;185,168.03
107-0000;21,305.00;568,256.67;567,153.66;22,408.01
107-0001;21,305.00;568,256.67;567,153.66;22,408.01
107-0002;0.00;0.00;0.00;0.00
108-0000;1,100.00;22,120.50;23,220.50;0.00
108-0001;1,100.00;22,120.50;23,220.50;0.00
109-0000;35,891.48;1,253.28;27,519.58;9,625.18
109-0001;13,880.71;1,000.00;5,508.81;9,371.90
109-0002;0.00;0.00;0.00;0.00
109-0003;22,010.77;253.28;22,010.77;253.28
110-0000;281,221.28;0.00;14,410.59;266,810.69
110-0001;25,839.89;0.00;3,229.99;22,609.90
110-0002;14,166.67;0.00;7,633.33;6,533.34
110-0003;241,214.72;0.00;3,547.27;237,667.45
114-0000;464,546.44;5,400.70;57,275.72;412,671.42
114-0001;442,139.68;0.00;52,012.00;390,127.68
114-0002;20,732.76;136.98;0.00;20,869.74
114-0003;1,674.00;0.00;0.00;1,674.00
114-0004;0.00;5,263.72;5,263.72;0.00
115-0000;93,636.19;0.00;0.00;93,636.19
115-0001;93,636.19;0.00;0.00;93,636.19
118-0000;0.00;52,833.16;52,833.16;0.00
118-0001;0.00;38,602.08;38,602.08;0.00
118-0002;0.00;4,354.62;4,354.62;0.00
118-0003;0.00;9,876.46;9,876.46;0.00
118-0004;0.00;0.00;0.00;0.00
119-0000;22,698.42;25,396.05;24,881.87;23,212.60
119-0001;10,699.94;15,025.68;9,002.79;16,722.83
119-0002;5,115.94;0.00;4,354.62;761.32
119-0003;6,882.54;10,370.37;11,524.46;5,728.45
119-0004;0.00;0.00;0.00;0.00
120-0000;0.00;0.00;0.00;0.00
120-0001;0.00;0.00;0.00;0.00
130-0000;451,672.59;0.00;0.00;451,672.59
130-0001;451,672.59;0.00;0.00;451,672.59
131-0000;132,563.10;0.00;0.00;132,563.10
131-0001;132,563.10;0.00;0.00;132,563.10
132-0000;251,054.87;0.00;0.00;251,054.87
