SubCta; SALDO_INICIAL ; DEBE ; HABER ; SALDO_FINAL 
101-0000;33,837.00;89,370.50;98,302.00;24,905.50
101-0001;4,874.00;4,623.00;4,623.00;4,874.00
101-0002;28,963.00;84,747.50;93,679.00;20,031.50
104-0000;8,546.39;924,157.54;912,893.13;19,810.80
104-0001;4,004.92;590,753.58;590,149.73;4,608.77
104-0002;4,541.47;333,403.96;322,743.40;15,202.03
106-0000;383,767.66;219.80;93,024.26;290,963.20
106-0001;383,767.66;219.80;93,024.26;290,963.20
107-0000;7,195.00;516,627.57;502,517.57;21,305.00
107-0001;7,195.00;516,627.57;502,517.57;21,305.00
107-0002;0.00;0.00;0.00;0.00
108-0000;2,395.00;20,945.00;22,240.00;1,100.00
108-0001;2,395.00;20,945.00;22,240.00;1,100.00
109-0000;10,890.41;31,710.77;6,709.70;35,891.48
109-0001;10,698.41;9,700.00;6,517.70;13,880.71
109-0002;0.00;0.00;0.00;0.00
109-0003;192.00;22,010.77;192.00;22,010.77
110-0000;283,631.87;12,000.00;14,410.59;281,221.28
110-0001;29,069.88;0.00;3,229.99;25,839.89
110-0002;9,800.00;12,000.00;7,633.33;14,166.67
110-0003;244,761.99;0.00;3,547.27;241,214.72
114-0000;511,705.04;4,591.03;51,749.63;464,546.44
114-0001;489,441.68;0.00;47,302.00;442,139.68
114-0002;20,589.36;143.40;0.00;20,732.76
114-0003;1,674.00;0.00;0.00;1,674.00
114-0004;0.00;4,447.63;4,447.63;0.00
115-0000;93,636.19;0.00;0.00;93,636.19
115-0001;93,636.19;0.00;0.00;93,636.19
118-0000;0.00;45,884.06;45,884.06;0.00
118-0001;0.00;35,323.20;35,323.20;0.00
118-0002;0.00;4,373.16;4,373.16;0.00
118-0003;0.00;6,187.70;6,187.70;0.00
118-0004;0.00;0.00;0.00;0.00
119-0000;17,026.81;22,608.55;16,936.94;22,698.42
119-0001;11,333.58;9,151.34;9,784.98;10,699.94
119-0002;761.32;4,354.62;0.00;5,115.94
119-0003;4,931.91;9,102.59;7,151.96;6,882.54
119-0004;0.00;0.00;0.00;0.00
120-0000;0.00;0.00;0.00;0.00
120-0001;0.00;0.00;0.00;0.00
130-0000;451,672.59;0.00;0.00;451,672.59
130-0001;451,672.59;0.00;0.00;451,672.59
131-0000;132,563.10;0.00;0.00;132,563.10
131-0001;132,563.10;0.00;0.00;132,563.10
132-0000;251,054.87;0.00;0.00;251,054.87
132-0001;251,054.87;0.00;0.00;251,054.87
133-0000;5,411,319.29;54,548.65;0.00;5,465,867.94
133-0001;4,975,091.95;54,548.65;0.00;5,029,640.60
133-0002;326,364.90;0.00;0.00;326,364.90
133-0003;109,862.44;0.00;0.00;109,862.44
134-0000;10,108,646.50;0.00;0.00;10,108,646.50
134-0001;10,108,646.50;0.00;0.00;10,108,646.50
161-0000;4,672,710.14;0.00;95,963.81;4,768,673.95
161-0001;171,034.87;0.00;3,763.94;174,798.81
161-0002;31,290.36;0.00;1,104.69;32,395.05
161-0003;218,317.01;0.00;1,161.79;219,478.80
161-0004;1,931,882.38;0.00;41,459.10;1,973,341.48
161-0005;268,143.62;0.00;5,439.42;273,583.04
161-0006;44,860.48;0.00;915.52;45,776.00
161-0007;2,007,181.42;0.00;42,119.35;2,049,300.77
166-0000;2,161,969.24;0.00;0.00;2,161,969.24
166-0001;2,161,969.24;0.00;0.00;2,161,969.24
171-0000;918,836.91;0.00;18,016.41;936,853.32
171-0001;918,836.91;0.00;18,016.41;936,853.32
202-0000;80,260.05;80,260.05;79,983.45;79,983.45
202-0001;80,260.05;80,260.05;79,983.45;79,983.45
202-0002;0.00;0.00;0.00;0.00
204-0000;2,460.00;24,842.09;24,842.09;2,460.00
204-0001;0.00;0.00;0.00;0.00
204-0002;2,460.00;24,842.09;24,842.09;2,460.00
206-0000;391,420.76;63,044.65;16,163.10;344,539.21
206-0001;185,740.38;30,767.89;0.00;154,972.49
206-0002;205,680.38;32,276.76;16,163.10;189,566.72
208-0000;0.00;69,863.95;69,863.95;0.00
208-0001;0.00;69,863.95;69,863.95;0.00
209-0000;992.69;69,312.22;71,258.42;2,938.89
209-0001;992.69;69,312.22;71,258.42;2,938.89
210-0000;22,670.75;0.00;7,641.01;30,311.76
210-0001;22,670.75;0.00;7,641.01;30,311.76
212-0000;30,907.51;27,080.85;83,979.91;87,806.57
212-0001;27,080.85;27,080.85;26,402.39;26,402.39
212-0002;0.00;0.00;30,131.18;30,131.18
212-0003;3,826.66;0.00;27,446.34;31,273.00
214-0000;12,033.98;34,629.16;34,218.90;11,623.72
214-0001;0.00;23,979.00;23,979.00;0.00
214-0002;0.00;0.00;0.00;0.00
214-0003;8,393.82;7,010.00;6,600.00;7,983.82
214-0004;3,640.16;3,640.16;3,639.90;3,639.90
216-0000;6,188.00;33,959.17;47,069.17;19,298.00
216-0001;0.00;27,770.71;29,376.71;1,606.00
216-0001;0.00;0.00;0.00;0.00
216-0002;0.00;0.00;7,816.00;7,816.00
216-0003;6,188.00;6,188.46;9,876.46;9,876.00
218-0000;45,830.03;41,394.78;28,877.39;33,312.64
218-0001;24,054.39;32,776.64;2,924.33;-5,797.92
218-0002;0.00;0.00;0.00;0.00
218-0003;21,775.64;8,618.14;25,953.06;39,110.56
310-0000;27,320,000.00;0.00;0.00;27,320,000.00
310-0001;50,000.00;0.00;0.00;50,000.00
310-0002;24,270,000.00;0.00;0.00;24,270,000.00
310-0003;3,000,000.00;0.00;0.00;3,000,000.00
315-0000;12,812,810.13;0.00;0.00;12,812,810.13
315-0001;12,812,810.13;0.00;0.00;12,812,810.13
410-0000;1,370,538.29;0.00;495,698.97;1,866,237.26
410-0001;1,315,493.85;0.00;475,367.19;1,790,861.04
410-0002;55,044.44;0.00;20,331.78;75,376.22
411-0000;0.00;0.00;0.00;0.00
411-0001;0.00;0.00;0.00;0.00
601-0000;1,202,283.92;363,308.48;0.00;1,565,592.40
601-0001;79,765.79;32,750.10;0.00;112,515.89
601-0002;16,847.92;3,493.30;0.00;20,341.22
601-0003;3,366.61;416.66;0.00;3,783.27
601-0004;841.65;104.17;0.00;945.82
601-0005;0.00;0.00;0.00;0.00
601-0006;1,183.59;301.96;0.00;1,485.55
601-0007;8.06;2.20;0.00;10.26
601-0008;1,050.49;0.00;0.00;1,050.49
601-0009;1,182.81;0.00;0.00;1,182.81
601-0010;0.00;0.00;0.00;0.00
601-0011;0.00;0.00;0.00;0.00
601-0012;0.00;0.00;0.00;0.00
601-0016;10,147.13;3,497.35;0.00;13,644.48
601-0017;3,127.40;1,112.05;0.00;4,239.45
601-0018;5,420.77;2,177.69;0.00;7,598.46
601-0019;6,803.02;2,733.03;0.00;9,536.05
601-0021;119,101.54;37,922.30;0.00;157,023.84
601-0022;155.55;18.33;0.00;173.88
