SubCta; SALDO_INICIAL ; DEBE ; HABER ; SALDO_FINAL 
101-0000;14,233.00;138,246.00;116,260.00;36,219.00
101-0001;4,874.00;2,494.00;2,494.00;4,874.00
101-0002;9,359.00;135,752.00;113,766.00;31,345.00
104-0000;68,071.53;1,085,003.51;1,058,610.94;94,464.10
104-0001;35,597.67;705,650.00;673,591.51;67,656.16
104-0002;32,473.86;379,353.51;385,019.43;26,807.94
106-0000;658,507.72;482.21;25,000.00;633,989.93
106-0001;658,507.72;482.21;25,000.00;633,989.93
107-0000;15,365.00;711,223.00;705,393.00;21,195.00
107-0001;15,365.00;711,223.00;705,393.00;21,195.00
107-0002;0.00;0.00;0.00;0.00
108-0000;0.00;24,814.00;22,599.00;2,215.00
108-0001;0.00;24,814.00;22,599.00;2,215.00
109-0000;15,801.25;11,999.00;8,574.00;19,226.25
109-0001;15,076.25;8,000.00;3,850.00;19,226.25
109-0002;0.00;0.00;0.00;0.00
109-0003;725.00;3,999.00;4,724.00;0.00
110-0000;316,042.71;0.00;19,246.74;296,795.97
110-0001;38,759.82;0.00;3,229.98;35,529.84
110-0002;21,879.09;0.00;12,469.49;9,409.60
110-0003;255,403.80;0.00;3,547.27;251,856.53
114-0000;677,052.28;4,941.28;85,620.80;596,372.76
114-0001;655,610.68;0.00;81,004.00;574,606.68
114-0002;19,767.60;324.48;0.00;20,092.08
114-0003;1,674.00;0.00;0.00;1,674.00
114-0004;0.00;4,616.80;4,616.80;0.00
115-0000;95,212.59;0.00;786.32;94,426.27
115-0001;95,212.59;0.00;786.32;94,426.27
118-0000;0.00;53,314.92;53,314.92;0.00
118-0001;0.00;37,119.85;37,119.85;0.00
118-0002;0.00;9,609.28;9,609.28;0.00
118-0003;0.00;6,585.79;6,585.79;0.00
118-0004;0.00;0.00;0.00;0.00
119-0000;14,763.99;22,883.48;17,025.94;20,621.53
119-0001;10,191.59;13,259.25;8,701.48;14,749.36
119-0002;761.32;0.00;0.00;761.32
119-0003;3,811.08;9,624.23;8,324.46;5,110.85
119-0004;0.00;0.00;0.00;0.00
120-0000;0.00;0.00;0.00;0.00
120-0001;0.00;0.00;0.00;0.00
130-0000;451,672.59;0.00;0.00;451,672.59
130-0001;451,672.59;0.00;0.00;451,672.59
131-0000;84,105.10;48,458.00;0.00;132,563.10
131-0001;84,105.10;48,458.00;0.00;132,563.10
132-0000;251,054.87;0.00;0.00;251,054.87
132-0001;251,054.87;0.00;0.00;251,054.87
133-0000;5,355,367.57;0.00;0.00;5,355,367.57
133-0001;4,919,140.23;0.00;0.00;4,919,140.23
133-0002;326,364.90;0.00;0.00;326,364.90
133-0003;109,862.44;0.00;0.00;109,862.44
134-0000;10,097,046.50;11,600.00;0.00;10,108,646.50
134-0001;10,097,046.50;11,600.00;0.00;10,108,646.50
161-0000;4,386,669.62;0.00;95,045.40;4,481,715.02
161-0001;159,743.05;0.00;3,763.94;163,506.99
161-0002;28,380.10;0.00;700.88;29,080.98
161-0003;214,831.64;0.00;1,161.79;215,993.43
161-0004;1,808,903.86;0.00;40,992.84;1,849,896.70
161-0005;251,825.36;0.00;5,439.42;257,264.78
161-0006;42,113.92;0.00;915.52;43,029.44
161-0007;1,880,871.69;0.00;42,071.01;1,922,942.70
166-0000;2,161,969.24;0.00;0.00;2,161,969.24
166-0001;2,161,969.24;0.00;0.00;2,161,969.24
171-0000;864,787.68;0.00;18,016.41;882,804.09
171-0001;864,787.68;0.00;18,016.41;882,804.09
202-0000;54,443.84;58,742.84;93,749.60;89,450.60
202-0001;54,443.84;58,742.84;93,749.60;89,450.60
202-0002;0.00;0.00;0.00;0.00
204-0000;0.00;30,027.53;32,487.53;2,460.00
204-0001;0.00;0.00;0.00;0.00
204-0002;0.00;30,027.53;32,487.53;2,460.00
206-0000;340,732.90;93,122.68;220,172.43;467,782.65
206-0001;340,732.90;74,261.33;0.00;266,471.57
206-0002;0.00;18,861.35;220,172.43;201,311.08
208-0000;0.00;97,295.29;97,295.29;0.00
208-0001;0.00;97,295.29;97,295.29;0.00
209-0000;2,119.59;97,295.29;98,099.41;2,923.71
209-0001;2,119.59;97,295.29;98,099.41;2,923.71
210-0000;0.00;0.00;7,662.48;7,662.48
210-0001;0.00;0.00;7,662.48;7,662.48
212-0000;77,971.77;77,971.77;32,445.90;32,445.90
212-0001;27,769.87;27,769.87;27,570.85;27,570.85
212-0002;27,937.43;27,937.43;0.00;0.00
212-0003;22,264.47;22,264.47;4,875.05;4,875.05
214-0000;11,248.82;53,846.00;51,776.00;9,178.82
214-0001;0.00;43,981.00;43,981.00;0.00
214-0002;0.00;0.00;0.00;0.00
214-0003;11,248.82;9,865.00;7,795.00;9,178.82
214-0004;0.00;0.00;0.00;0.00
216-0000;6,585.79;48,225.78;46,112.76;4,472.77
216-0001;0.00;37,571.99;37,571.99;0.00
216-0001;0.00;0.00;0.00;0.00
216-0002;0.00;4,068.00;4,068.00;0.00
216-0003;6,585.79;6,585.79;4,472.77;4,472.77
218-0000;24,516.03;40,117.87;83,695.46;68,093.62
218-0001;-5,373.21;4,728.54;34,081.55;23,979.80
218-0002;1,100.00;19,850.00;22,350.00;3,600.00
218-0003;28,789.24;15,539.33;27,263.91;40,513.82
310-0000;27,320,000.00;0.00;0.00;27,320,000.00
310-0001;50,000.00;0.00;0.00;50,000.00
310-0002;24,270,000.00;0.00;0.00;24,270,000.00
310-0003;3,000,000.00;0.00;0.00;3,000,000.00
315-0000;12,812,810.13;0.00;0.00;12,812,810.13
315-0001;12,812,810.13;0.00;0.00;12,812,810.13
410-0000;0.00;0.00;486,073.84;486,073.84
410-0001;0.00;0.00;462,133.47;462,133.47
410-0002;0.00;0.00;23,940.37;23,940.37
411-0000;0.00;0.00;0.00;0.00
411-0001;0.00;0.00;0.00;0.00
601-0000;0.00;417,404.18;0.00;417,404.18
601-0001;0.00;27,143.97;0.00;27,143.97
601-0002;0.00;4,900.00;0.00;4,900.00
601-0003;0.00;2,549.96;0.00;2,549.96
601-0004;0.00;637.49;0.00;637.49
601-0005;0.00;0.00;0.00;0.00
601-0006;0.00;347.80;0.00;347.80
