SubCta; SALDO_INICIAL ; DEBE ; HABER ; SALDO_FINAL 
101-0000;30,819.00;127,471.00;79,154.00;33,837.00
101-0001;4,874.00;3,090.00;3,090.00;4,874.00
101-0002;25,945.00;124,381.00;121,363.00;28,963.00
104-0000;55,930.17;938,111.19;985,494.97;8,546.39
104-0001;28,395.28;611,074.00;635,464.36;4,004.92
104-0002;27,534.89;327,037.19;350,030.61;4,541.47
106-0000;449,394.71;20,372.95;86,000.00;383,767.66
106-0001;449,394.71;20,372.95;86,000.00;383,767.66
107-0000;19,305.00;497,929.04;510,039.04;7,195.00
107-0001;19,305.00;497,929.04;510,039.04;7,195.00
107-0002;0.00;0.00;0.00;0.00
108-0000;1,100.00;9,999.00;8,704.00;2,395.00
108-0001;1,100.00;9,999.00;8,704.00;2,395.00
109-0000;13,843.25;10,373.38;13,326.22;10,890.41
109-0001;13,651.25;4,200.00;7,152.84;10,698.41
109-0002;0.00;0.00;0.00;0.00
109-0003;192.00;6,173.38;6,173.38;192.00
110-0000;289,549.23;9,800.00;15,717.36;283,631.87
110-0001;32,299.86;0.00;3,229.98;29,069.88
110-0002;8,940.11;9,800.00;8,940.11;9,800.00
110-0003;248,309.26;0.00;3,547.27;244,761.99
114-0000;563,168.12;5,365.27;56,828.35;511,705.04
114-0001;541,145.68;0.00;51,704.00;489,441.68
114-0002;20,348.44;240.92;0.00;20,589.36
114-0003;1,674.00;0.00;0.00;1,674.00
114-0004;0.00;5,124.35;5,124.35;0.00
115-0000;93,878.19;0.00;242.00;93,636.19
115-0001;93,878.19;0.00;242.00;93,636.19
118-0000;0.00;51,170.47;51,170.47;0.00
118-0001;0.00;30,630.87;30,630.87;0.00
118-0002;0.00;8,952.28;8,952.28;0.00
118-0003;0.00;11,587.32;11,587.32;0.00
118-0004;0.00;0.00;0.00;0.00
119-0000;15,793.40;19,440.69;18,207.28;17,026.81
119-0001;6,662.68;10,597.53;5,926.63;11,333.58
119-0002;761.32;0.00;0.00;761.32
119-0003;8,369.40;8,843.16;12,280.65;4,931.91
119-0004;0.00;0.00;0.00;0.00
120-0000;0.00;0.00;0.00;0.00
120-0001;0.00;0.00;0.00;0.00
130-0000;451,672.59;0.00;0.00;451,672.59
130-0001;451,672.59;0.00;0.00;451,672.59
131-0000;132,563.10;0.00;0.00;132,563.10
131-0001;132,563.10;0.00;0.00;132,563.10
132-0000;251,054.87;0.00;0.00;251,054.87
132-0001;251,054.87;0.00;0.00;251,054.87
133-0000;5,355,367.57;55,951.72;0.00;5,411,319.29
133-0001;4,919,140.23;55,951.72;0.00;4,975,091.95
133-0002;326,364.90;0.00;0.00;326,364.90
133-0003;109,862.44;0.00;0.00;109,862.44
134-0000;10,108,646.50;0.00;0.00;10,108,646.50
134-0001;10,108,646.50;0.00;0.00;10,108,646.50
161-0000;4,577,212.58;0.00;95,497.56;4,672,710.14
161-0001;167,270.93;0.00;3,763.94;171,034.87
161-0002;30,185.67;0.00;1,104.69;31,290.36
161-0003;217,155.22;0.00;1,161.79;218,317.01
161-0004;1,890,889.54;0.00;40,992.84;1,931,882.38
161-0005;262,704.20;0.00;5,439.42;268,143.62
161-0006;43,944.96;0.00;915.52;44,860.48
161-0007;1,965,062.06;0.00;42,119.36;2,007,181.42
166-0000;2,161,969.24;0.00;0.00;2,161,969.24
